model,top-1_acc,top-5_acc
efficientnet_em_imagenet--240x240_quant_n2x_cpu_1,68.9,88.5
mobilenet_v1_imagenet--224x224_quant_n2x_cpu_1,56.5,78.7
efficientnet_em_imagenet--240x240_quant_n2x_orca_1,68.9,88.5
efficientnet_es_imagenet--224x224_quant_n2x_orca_1,64.0,87.8
mobilenet_v1_imagenet--224x224_quant_n2x_orca_1,56.5,78.7
efficientnet_es_imagenet--224x224_quant_n2x_cpu_1,64.0,87.8
mobilenet_v2_imagenet--224x224_float_n2x_cpu_1,49.0,75.8
mobilenet_v2_imagenet--224x224_quant_n2x_cpu_1,53.9,80.0
mobilenet_v2_imagenet--224x224_float_n2x_orca_1,49.0,75.8
mobilenet_v2_imagenet--224x224_quant_n2x_orca_1,53.9,80.0
resnet50_imagenet--224x224_pruned_quant_n2x_orca_1,62.6,85.3
resnet50_imagenet--224x224_pruned_quant_n2x_cpu_1,62.6,85.3
mobilenet_v2_imagenet--224x224_float_n2x_orca_1,56.91,80.318
mobilenet_v2_imagenet--224x224_quant_n2x_orca_1,62.126,83.6
mobilenetv2_100_imagenet--224x224_float_n2x_orca_2,70.952,89.918
